Release Date   	Day of Week   	Type   	Toon   	Watch   	Easter Eggs   	Runtime
July 1996(web version first appeared on or before June 28, 2001)		Book	The Homestar Runner Enters the Strongest Man in the World Contest	read	(N/A)	(N/A)
December 1996		Uncategorized	Super NES	watch	0	1:26
January 2000		Book	Where My Hat Is At?	read	(N/A)	(N/A)
January 2000		Uncategorized	First Flash	watch	0	0:07
January 2000		Uncategorized	Second Flash	watch	0	0:07
January 2000		Uncategorized	Pom Pom Too	watch	0	1:04
January 2000		Toon	Marshmallow's Last Stand	watch	0	5:00
January 2000		Intro	Old Intro	watch	1	0:15
Early 2000		Toon	The King of Town (Old Version)	watch	1	1:32
Early 2000		Game	She Loves Me!	play	0	(N/A)
2000		Short	Kick the Can	watch	0	5:30
"May 10, 2000, or earlier"		Main Page	Main Page 2	watch	0	(N/A)
"May 10, 2000, or earlier"		Main Page	Main Page 3	watch	0	(N/A)
"May 10, 2000, or earlier"		Main Page	Main Page 4	watch	0	(N/A)
"May 10, 2000, or earlier"		Main Page	Main Page 1	watch	0	(N/A)
"May 10, 2000, or earlier"		Main Page	Main Page 5	watch	0	(N/A)
"May 10, 2000, or earlier"		Main Page	Main Page 6	watch	0	(N/A)
"May 10, 2000, or earlier"		Menu	Oldest Toons Menu	watch	0	(N/A)
"May 10, 2000, or earlier"		Menu	Original Games Menu	watch	0	(N/A)
"May 10, 2000, or earlier"		Uncategorized	Old Characters Page	watch	0	(N/A)
"May 10, 2000, or earlier"		Uncategorized	Downloads	watch	3	(N/A)
"May 10, 2000, or earlier"		Uncategorized	Flash Store	watch	0	(N/A)
"May 10, 2000, or earlier"		Menu	Museum	watch	0	(N/A)
"May 10, 2000, or earlier"		Uncategorized	Sketchbook (museum)	read	0	(N/A)
"May 10, 2000, or earlier"		Uncategorized	Fan Stuff	read	0	(N/A)
"May 10, 2000, or earlier"		Uncategorized	Ice Cream	watch	0	(N/A)
"May 10, 2000, or earlier"		Menu	Old Flash Stuff	watch	0	(N/A)
"May 10, 2000, or earlier"		Intro	Old Intro 2	watch	0	0:15
Early to mid 2000?		Toon	In Search of the Yello Dello (Old Version)	watch	0	3:22
Early to mid 2000?		Menu	Lava Lamp Toons Menu	watch	0	(N/A)
Early to mid 2000?		Toon	The Reddest Radish	watch	0	2:23
Early to mid 2000?		Menu	Character Cards	watch	0	(N/A)
Mid 2000?		Game	Fortune Cookies	play	0	(N/A)
Mid 2000?		Game	Homestar Talker	play	2	(N/A)
Mid 2000?		Main Page	Strong Bad Main Page		0	(N/A)
Mid 2000?		Game	Bronco Trolleys	play	0	(N/A)
Mid 2000?		Game	Hairstyle Runner	play	0	(N/A)
Mid 2000?		Game	Astro Lite	play	0	(N/A)
Mid 2000?		Game	Dancin' Bubs	play	0	(N/A)
Mid 2000?		Toon	A Jumping Jack Contest	watch	0	5:17
Mid 2000?		Menu	Telebision Toons Menu	watch	0	(N/A)
Mid 2000?		Menu	Chinese Food Toons Menu	watch	0	(N/A)
Mid 2000?		Menu	Second Games Menu	watch	0	(N/A)
Mid 2000?		Game	Strong Libs	play	0	(N/A)
Mid 2000?		Short	Theme Song Video	watch	0	1:00
Summer 2000		Intro	Flag Intro	watch	0	0:20
Mid to late 2000?		Short	Strong Bad Sings	watch	0	1:42
Fall 2000		Marzipan's Answering Machine	Marzipan's Answering Machine Version 1.0	watch	0	3:57
October 2000		Holiday Toon	Homestarloween Party	watch	0	4:55
October 2000		Main Page	Main Page 7	watch	0	(N/A)
Late 2000		Uncategorized	Yearbook Character Page	watch	0	(N/A)
December 2000		Holiday Toon	A Holiday Greeting	watch	0	1:37
January 24, 2001, or earlier		Main Page	Main Page 8	watch	0	(N/A)
January 24, 2001, or earlier		Main Page	Main Page 9	watch	0	(N/A)
March 2, 2001	Friday	Toon	A Jorb Well Done	watch	0	4:00
March 8, 2001, or earlier		Main Page	Main Page 10	watch	0	(N/A)
Spring 2001		Main Page	Main Page 11	watch	0	(N/A)
Spring 2001		Main Page	Main Page 12	watch	0	(N/A)
Spring 2001		Main Page	Main Page 13	watch	0	(N/A)
May 1, 2001, or earlier		Marzipan's Answering Machine	Marzipan's Answering Machine Version 2.0	watch	0	2:27
May 1, 2001, or earlier		Toon	The Luau	watch	0	5:36
May 1, 2001, or earlier		Main Page	Luau Main Page	watch	0	(N/A)
Early to mid 2001		Menu	The King of Town DVD	watch	1	(N/A)
Early to mid 2001		Toon	The King of Town DVD New Version	watch	0	1:26
Early to mid 2001		Toon	The King of Town DVD Commentary	watch	0	2:50
Early to mid 2001		Toon	The King of Town DVD Storyboards	watch	0	(N/A)
Early to mid 2001		Menu	In Search Of The Yello Dello	watch	0	(N/A)
