Release Date,Day of Week,Type,Toon,Easter Eggs,Runtime
July 1996(web version first appeared on or before June 28 2001),,Book,The Homestar Runner Enters the Strongest Man in the World Contest,(N/A),(N/A)
December 1996,,Uncategorized,Super NES,0,1:26
January 2000,,Book,Where My Hat Is At?,(N/A),(N/A)
January 2000,,Uncategorized,First Flash,0,0:07
January 2000,,Uncategorized,Second Flash,0,0:07
January 2000,,Uncategorized,Pom Pom Too,0,1:04
January 2000,,Toon,Marshmallow's Last Stand,0,5:00
January 2000,,Intro,Old Intro,1,0:15
Early 2000,,Toon,The King of Town (Old Version),1,1:32
Early 2000,,Game,She Loves Me!,0,(N/A)
2000,,Short,Kick the Can,0,5:30
May 10 2000,,Main Page,Main Page 2,0,(N/A)
May 10 2000,,Main Page,Main Page 3,0,(N/A)
May 10 2000,,Main Page,Main Page 4,0,(N/A)
May 10 2000,,Main Page,Main Page 1,0,(N/A)
May 10 2000,,Main Page,Main Page 5,0,(N/A)
May 10 2000,,Main Page,Main Page 6,0,(N/A)
May 10 2000,,Menu,Oldest Toons Menu,0,(N/A)
May 10 2000,,Menu,Original Games Menu,0,(N/A)
May 10 2000,,Uncategorized,Old Characters Page,0,(N/A)
May 10 2000,,Uncategorized,Downloads,3,(N/A)
May 10 2000,,Uncategorized,Flash Store,0,(N/A)
May 10 2000,,Menu,Museum,0,(N/A)
May 10 2000,,Uncategorized,Sketchbook (museum),0,(N/A)
May 10 2000,,Uncategorized,Fan Stuff,0,(N/A)
May 10 2000,,Uncategorized,Ice Cream,0,(N/A)
May 10 2000,,Menu,Old Flash Stuff,0,(N/A)
May 10 2000,,Intro,Old Intro 2,0,0:15
Early to mid 2000?,,Toon,In Search of the Yello Dello (Old Version),0,3:22
Early to mid 2000?,,Menu,Lava Lamp Toons Menu,0,(N/A)
Early to mid 2000?,,Toon,The Reddest Radish,0,2:23
Early to mid 2000?,,Menu,Character Cards,0,(N/A)
Mid 2000?,,Game,Fortune Cookies,0,(N/A)
Mid 2000?,,Game,Homestar Talker,2,(N/A)
Mid 2000?,,Main Page,Strong Bad Main Page,0,(N/A)
Mid 2000?,,Game,Bronco Trolleys,0,(N/A)
Mid 2000?,,Game,Hairstyle Runner,0,(N/A)
Mid 2000?,,Game,Astro Lite,0,(N/A)
Mid 2000?,,Game,Dancin' Bubs,0,(N/A)
Mid 2000?,,Toon,A Jumping Jack Contest,0,5:17
Mid 2000?,,Menu,Telebision Toons Menu,0,(N/A)
Mid 2000?,,Menu,Chinese Food Toons Menu,0,(N/A)
Mid 2000?,,Menu,Second Games Menu,0,(N/A)
Mid 2000?,,Game,Strong Libs,0,(N/A)
Mid 2000?,,Short,Theme Song Video,0,1:00
Summer 2000,,Intro,Flag Intro,0,0:20
Mid to late 2000?,,Short,Strong Bad Sings,0,1:42
Fall 2000,,Marzipan's Answering Machine,Marzipan's Answering Machine Version 1.0,0,3:57
October 2000,,Holiday Toon,Homestarloween Party,0,4:55
October 2000,,Main Page,Main Page 7,0,(N/A)
Late 2000,,Uncategorized,Yearbook Character Page,0,(N/A)
December 2000,,Holiday Toon,A Holiday Greeting,0,1:37
January 24 2001,,Main Page,Main Page 8,0,(N/A)
January 24 2001,,Main Page,Main Page 9,0,(N/A)
March 2 2001,Friday,Toon,A Jorb Well Done,0,4:00
March 8 2001,,Main Page,Main Page 10,0,(N/A)
Spring 2001,,Main Page,Main Page 11,0,(N/A)
Spring 2001,,Main Page,Main Page 12,0,(N/A)
Spring 2001,,Main Page,Main Page 13,0,(N/A)
May 1 2001,,Marzipan's Answering Machine,Marzipan's Answering Machine Version 2.0,0,2:27
May 1 2001,,Toon,The Luau,0,5:36
May 1 2001,,Main Page,Luau Main Page,0,(N/A)
Early to mid 2001,,Menu,The King of Town DVD,1,(N/A)
