Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,51866464,50251964,0.0321
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,42626783,41232432,0.0338
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,39874879,38593028,0.0332
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,32800721,31816933,0.0309
5,NM,CO,DEN,Denver,Denver International,P,L,31363573,29809097,0.0521
6,EA,NY,JFK,New York,John F Kennedy International,P,L,30541459,29533154,0.0341
7,WP,CA,SFO,San Francisco,San Francisco International,P,L,27794154,26900048,0.0332
8,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,24025098,22639124,0.0612
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,23655285,23364393,0.0125
10,SO,FL,MCO,Orlando,Orlando International,P,L,23184634,21565448,0.0751
11,EA,NJ,EWR,Newark,Newark Liberty International,P,L,22798354,21571198,0.0569
12,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,22283574,22011251,0.0124
13,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,21623842,21185458,0.0207
14,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,21157948,19603731,0.0793
15,SO,FL,MIA,Miami,Miami International,P,L,21025210,20709225,0.0153
16,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,20010262,18759742,0.0667
17,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,18363453,18409704,-0.0025
18,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,17613957,15817043,0.1136
19,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,17437716,17036092,0.0236
20,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15285948,14271243,0.0711
21,EA,NY,LGA,New York,Laguardia,P,L,15059648,14614802,0.0304
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,13373773,12976554,0.0306
23,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,12228677,11615954,0.0527
24,WP,CA,SAN,San Diego,San Diego International,P,L,12176303,11139933,0.093
25,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11628309,11024306,0.0548
26,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,11367176,11506310,-0.0121
27,GL,IL,MDW,Chicago,Chicago Midway International,P,L,10685565,10912074,-0.0208
28,SO,FL,TPA,Tampa,Tampa International,P,L,10369622,9548580,0.086
29,NM,OR,PDX,Portland,Portland International,P,L,9805535,9435473,0.0392
30,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,L,9578505,9743989,-0.017
31,SO,TN,BNA,Nashville,Nashville International,P,M,7819388,6902771,0.1328
32,SW,TX,DAL,Dallas,Dallas Love Field,P,M,7819383,7593361,0.0298
33,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,7717251,6813171,0.1327
34,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,7616704,7194745,0.0586
35,SW,TX,HOU,Houston,William P Hobby,P,M,7057673,6538976,0.0793
36,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,7037144,6130878,0.1478
37,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,6687963,6413842,0.0427
38,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,6583031,6022318,0.0931
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,6260001,5692659,0.0997
40,WP,CA,SMF,Sacramento,Sacramento International,P,M,5907901,5341595,0.106
41,CE,MO,MCI,Kansas City,Kansas City International,P,M,5791205,5628581,0.0289
42,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,5199265,5082716,0.0229
43,SW,TX,SAT,San Antonio,San Antonio International,P,M,4845842,4382127,0.1058
44,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4702503,4446555,0.0576
45,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,4670954,4327434,0.0794
46,GL,IN,IND,Indianapolis,Indianapolis International,P,M,4656767,4343722,0.0721
47,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,4602810,4364224,0.0547
48,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,4269463,3791989,0.1259
49,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,4010158,4203766,-0.0461
50,GL,OH,CMH,Columbus,John Glenn Columbus International,P,M,3980158,3689570,0.0788
51,WP,HI,OGG,Kahului,Kahului,P,M,3572133,3442189,0.0378
52,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3469469,3414477,0.0161
53,NE,CT,BDL,Windsor Locks,Bradley International,P,M,3278762,3164647,0.0361
54,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3277012,3110450,0.0535
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,3136425,2701861,0.1608
56,WP,CA,BUR,Burbank,Bob Hope,P,M,2681598,2402106,0.1164
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2647567,2412328,0.0975
58,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2642901,2556191,0.0339
59,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2523630,2348512,0.0746
60,WP,CA,ONT,Ontario,Ontario International,P,M,2499171,2247645,0.1119
61,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2457087,2243658,0.0951
62,SO,TN,MEM,Memphis,Memphis International,P,S,2213780,2102739,0.0528
63,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,2194130,1945699,0.1277
64,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,2118090,1940806,0.0913
65,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,2087860,1894289,0.1022
66,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,2049618,1953028,0.0495
67,EA,VA,RIC,Highland Springs,Richmond International,P,S,2049487,1822486,0.1246
68,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1943338,1777642,0.0932
69,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1909137,1830745,0.0428
70,SO,KY,SDF,Louisville,Louisville Muhammad Ali International,P,S,1878967,1684738,0.1153
71,NM,WA,GEG,Spokane,Spokane International,P,S,1873011,1698433,0.1028
72,EA,VA,ORF,Norfolk,Norfolk International,P,S,1846564,1694329,0.0898
73,WP,HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,1823801,1764995,0.0333
74,WP,AZ,TUS,Tucson,Tucson International,P,S,1753982,1669928,0.0503
75,WP,HI,LIH,Lihue,Lihue,P,S,1644756,1535075,0.0714
